household_key,primer_dia,ultimo_dia,frecuencia_cestas,clv_historico,n_lineas,recencia_dias,tenencia_dias,gasto_medio_cesta,tenencia_corta,n_categorias_distintas,log_clv_historico,gasto_medio_semanal_base,gasto_medio_semanal_reciente,tendencia_no_disponible,tendencia_relativa,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,KID_CATEGORY_DESC,AGE_DESC_cod,MARITAL_STATUS_CODE_cod,INCOME_DESC_cod,HOMEOWNER_DESC_cod,HH_COMP_DESC_cod,KID_CATEGORY_DESC_cod,tamano_medio_cesta,descuento_total,target_campana,n_campanas,nivel_valor,nivel_tendencia,cuadrante
944,70,701,104,2859.76,642,4,632,27.49769230769231,False,149,7.958842602778536,29.03535211267606,36.7125,False,0.2644069153193532,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,6.173076923076923,362.53999999999996,1,1,Alto,Ascendente,Alto valor / Ascendente
945,67,703,51,1926.03,579,2,637,37.76529411764706,False,108,7.563735236533971,17.30830985915493,41.78416666666667,False,1.414110159032406,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,11.352941176470589,327.77,0,0,Bajo,Ascendente,Bajo valor / Ascendente
946,23,705,135,2525.76,1202,0,683,18.709333333333333,False,136,7.834693128600052,26.400563380281692,31.790000000000003,False,0.20414097010307078,19-24,U,Under 15K,Unknown,Single Female,None/Unknown,0.0,3.0,0.0,5.0,4.0,3.0,8.903703703703703,543.25,1,3,Alto,Ascendente,Alto valor / Ascendente
947,9,704,218,2260.13,934,1,696,10.36756880733945,False,103,7.723619967307982,21.493661971830985,22.36916666666667,False,0.04073315640597197,65+,B,35-49K,Homeowner,Single Male,None/Unknown,5.0,1.0,3.0,0.0,5.0,3.0,4.284403669724771,329.9,1,7,Alto,Ascendente,Alto valor / Ascendente
948,52,372,4,304.85,107,333,321,76.2125,True,46,5.723094785688574,0.20211267605633804,0.0,True,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,26.75,74.48,0,0,Bajo,Sin tendencia disponible,Sin tendencia disponible
949,116,705,133,5789.16,1977,0,590,43.52751879699248,False,157,8.663915204036702,63.625774647887326,99.18,False,0.5588022393263427,25-34,U,50-74K,Homeowner,2 Adults No Kids,None/Unknown,1.0,3.0,4.0,0.0,2.0,3.0,14.864661654135338,879.15,1,8,Alto,Ascendente,Alto valor / Ascendente
950,83,610,58,2027.0,750,95,528,34.94827586206897,False,118,7.614805364711073,24.420704225352114,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,12.931034482758621,343.34,0,0,Bajo,Descendente,Bajo valor / Descendente
951,18,701,17,565.8,159,4,684,33.28235294117647,False,63,6.3400065078165255,4.26943661971831,13.8375,False,2.241059941279319,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,9.352941176470589,69.41,0,0,Bajo,Ascendente,Bajo valor / Ascendente
952,101,702,110,2190.29,877,3,602,19.911727272727273,False,133,7.692245690489827,23.603521126760562,23.804166666666664,False,0.008500661355928769,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,7.972727272727273,341.6,1,4,Alto,Ascendente,Alto valor / Ascendente
953,21,700,114,2513.39,956,5,680,22.047280701754385,False,151,7.829785508383499,16.558028169014086,55.76416666666666,False,2.3678023794536776,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.385964912280702,569.4,1,2,Alto,Ascendente,Alto valor / Ascendente
954,59,694,53,2537.43,995,11,636,47.87603773584905,False,139,7.839301058667474,22.859154929577464,40.097500000000004,False,0.7541112138016022,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,18.77358490566038,890.27,1,3,Alto,Ascendente,Alto valor / Ascendente
955,58,704,267,3994.76,1821,1,647,14.961647940074908,False,123,8.292989077904707,43.876056338028164,55.96,False,0.27541088854648194,19-24,U,Under 15K,Unknown,Single Female,None/Unknown,0.0,3.0,0.0,5.0,4.0,3.0,6.820224719101123,678.2300000000001,1,7,Alto,Ascendente,Alto valor / Ascendente
956,51,705,615,10169.06,2498,0,655,16.535056910569104,False,173,9.227203388730217,109.32971830985915,104.60583333333334,False,-0.04320769365871328,45-54,U,50-74K,Homeowner,2 Adults No Kids,None/Unknown,3.0,3.0,4.0,0.0,2.0,3.0,4.061788617886179,1151.14,1,4,Alto,Descendente,Alto valor / Descendente
957,30,696,575,3751.38,1497,9,667,6.524139130434783,False,157,8.230145584315409,39.41845070422535,24.113333333333333,False,-0.3882729305048873,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,2.603478260869565,702.72,1,4,Alto,Descendente,Alto valor / Descendente
958,104,516,10,310.99,108,189,413,31.099,False,47,5.742971136013778,2.8166197183098594,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,10.8,60.47,0,0,Bajo,Descendente,Bajo valor / Descendente
959,107,696,59,1000.2,292,9,590,16.952542372881357,False,94,6.908954559557619,10.108732394366198,20.230833333333333,False,1.0013224748741383,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,4.9491525423728815,134.29,0,0,Bajo,Ascendente,Bajo valor / Ascendente
960,33,676,105,2423.53,603,29,644,23.081238095238096,False,112,7.79339297015415,24.770281690140845,16.665833333333335,False,-0.32718434364972404,35-44,A,125-149K,Homeowner,2 Adults Kids,3+,2.0,0.0,7.0,0.0,1.0,2.0,5.742857142857143,222.25,1,5,Alto,Descendente,Alto valor / Descendente
961,105,698,72,3956.27,1176,7,594,54.94819444444445,False,158,8.28330967256786,43.17366197183099,55.666666666666664,False,0.289366343373579,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,16.333333333333332,351.83,1,8,Alto,Ascendente,Alto valor / Ascendente
962,112,692,53,1530.44,641,13,581,28.87622641509434,False,116,7.333963748228201,18.18605633802817,12.716666666666667,False,-0.3007463283793238,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,12.09433962264151,511.82,0,0,Bajo,Descendente,Bajo valor / Descendente
963,32,588,43,2036.66,652,117,557,47.36418604651163,False,118,7.6195573696392485,21.051830985915494,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,15.162790697674419,269.57,0,0,Bajo,Descendente,Bajo valor / Descendente
964,101,705,86,2006.71,791,0,605,23.333837209302327,False,113,7.604750048070957,21.09380281690141,41.31416666666667,False,0.9585926267199055,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,9.19767441860465,329.06,1,1,Bajo,Ascendente,Bajo valor / Ascendente
965,6,704,52,1764.07,592,1,699,33.92442307692308,False,96,7.475945628637615,22.353661971830988,12.644166666666665,False,-0.43435815202895,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,11.384615384615385,419.04,1,1,Bajo,Descendente,Bajo valor / Descendente
966,90,654,16,202.06,50,51,565,12.62875,False,15,5.313501501873077,2.3583098591549296,0.9141666666666667,False,-0.6123636327440676,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.125,31.3,0,0,Bajo,Descendente,Bajo valor / Descendente
967,89,666,10,299.38,118,39,578,29.938,False,49,5.705048339777434,3.2647887323943663,0.38166666666666665,False,-0.8830960598216853,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,11.8,69.56,0,0,Bajo,Descendente,Bajo valor / Descendente
968,35,698,164,9384.32,3465,7,664,57.221463414634144,False,175,9.14690204540256,93.3574647887324,111.74666666666667,False,0.19697623451481855,35-44,B,35-49K,Renter,1 Adult Kids,1,2.0,1.0,3.0,3.0,0.0,0.0,21.128048780487806,2026.3899999999999,1,10,Alto,Ascendente,Alto valor / Ascendente
969,60,684,8,311.59000000000003,129,21,625,38.948750000000004,False,40,5.744892427712418,2.427605633802817,1.2516666666666667,False,-0.4844028003403729,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,16.125,51.29,0,0,Bajo,Descendente,Bajo valor / Descendente
970,94,700,15,691.45,194,5,607,46.09666666666667,False,67,6.540236033288727,7.789718309859156,9.748333333333333,False,0.2514359243254318,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,12.933333333333334,109.7,0,0,Bajo,Ascendente,Bajo valor / Ascendente
971,50,703,125,3630.58,1330,2,654,29.04464,False,153,8.197423094267986,39.23845070422535,43.6525,False,0.112492955673689,25-34,A,35-49K,Homeowner,2 Adults Kids,1,1.0,0.0,3.0,0.0,1.0,0.0,10.64,455.91,1,3,Alto,Ascendente,Alto valor / Ascendente
972,91,703,196,4200.5,1281,2,613,21.431122448979593,False,146,8.343196883368273,45.10507042253521,40.454166666666666,False,-0.10311265922655298,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,6.535714285714286,531.38,1,7,Alto,Descendente,Alto valor / Descendente
973,95,700,83,13231.27,3513,5,606,159.41289156626507,False,189,9.490413822133888,153.12901408450705,153.62416666666667,False,0.0032335647500894914,35-44,A,50-74K,Homeowner,2 Adults Kids,2,2.0,0.0,4.0,0.0,1.0,1.0,42.325301204819276,1540.69,1,9,Alto,Ascendente,Alto valor / Ascendente
974,68,690,39,1829.65,598,15,623,46.91410256410256,False,101,7.512426374026816,23.540281690140848,5.241666666666666,False,-0.7773320329950858,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,15.333333333333334,328.71,0,0,Bajo,Descendente,Bajo valor / Descendente
975,109,705,179,4697.63,1127,0,597,26.243743016759776,False,101,8.455026255845166,56.03985915492957,50.21083333333333,False,-0.1040157114863749,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,6.29608938547486,470.51,1,4,Alto,Descendente,Alto valor / Descendente
976,68,700,81,6095.91,1807,5,633,75.25814814814815,False,180,8.715537364440822,60.14535211267605,125.61166666666666,False,1.088468389566434,25-34,A,200-249K,Homeowner,2 Adults Kids,3+,1.0,0.0,10.0,0.0,1.0,2.0,22.308641975308642,651.94,1,3,Alto,Ascendente,Alto valor / Ascendente
977,114,697,34,1036.52,426,8,584,30.485882352941175,False,98,6.944588529027486,10.562535211267607,17.905833333333334,False,0.6952211732494153,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,12.529411764705882,215.67,0,0,Bajo,Ascendente,Bajo valor / Ascendente
978,110,703,70,2831.48,876,2,594,40.449714285714286,False,148,7.948907931976969,26.12732394366197,42.2125,False,0.6156457542694498,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,12.514285714285714,382.39,1,3,Alto,Ascendente,Alto valor / Ascendente
979,24,699,203,12730.62,4468,6,676,62.71241379310345,False,193,9.451843941899403,128.73647887323946,165.52333333333334,False,0.2857531507935377,35-44,B,35-49K,Homeowner,1 Adult Kids,1,2.0,1.0,3.0,0.0,0.0,0.0,22.00985221674877,3297.33,1,13,Alto,Ascendente,Alto valor / Ascendente
980,69,697,29,1330.22,385,8,629,45.86965517241379,False,88,7.193851093992546,13.559577464788733,23.113333333333333,False,0.704576222478438,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,13.275862068965518,275.58,0,0,Bajo,Ascendente,Bajo valor / Ascendente
981,80,690,36,1394.1100000000001,380,15,611,38.725277777777784,False,89,7.240728544193323,15.122676056338028,15.608333333333334,False,0.032114506399928064,45-54,A,25-34K,Homeowner,Single Female,None/Unknown,3.0,0.0,2.0,0.0,4.0,3.0,10.555555555555555,232.52,0,0,Bajo,Ascendente,Bajo valor / Ascendente
982,66,705,406,18579.68,5746,0,640,45.76275862068965,False,194,9.829877610191124,201.6314084507042,212.20333333333335,False,0.05243193490469421,45-54,U,35-49K,Unknown,2 Adults Kids,2,3.0,3.0,3.0,5.0,1.0,1.0,14.152709359605911,2627.65,1,14,Alto,Ascendente,Alto valor / Ascendente
983,64,704,193,3732.68,1555,1,641,19.340310880829016,False,154,8.225149621446976,37.56464788732394,60.01333333333333,False,0.5976013807808009,45-54,A,35-49K,Homeowner,2 Adults Kids,1,3.0,0.0,3.0,0.0,1.0,0.0,8.05699481865285,860.78,1,6,Alto,Ascendente,Alto valor / Ascendente
984,71,684,32,1219.71,422,21,614,38.1159375,False,106,7.1071879356631715,14.603802816901407,12.765833333333333,False,-0.12585553958869797,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,13.1875,428.52,1,1,Bajo,Descendente,Bajo valor / Descendente
985,2,701,109,2027.78,805,4,700,18.60348623853211,False,145,7.615189906150152,21.641830985915494,33.199999999999996,False,0.5340661343121366,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,7.385321100917431,531.8100000000001,0,0,Bajo,Ascendente,Bajo valor / Ascendente
986,31,698,90,1827.8700000000001,654,7,668,20.30966666666667,False,85,7.5114535687734625,18.300563380281687,19.673333333333336,False,0.07501244221425264,25-34,U,35-49K,Unknown,Single Male,None/Unknown,1.0,3.0,3.0,5.0,5.0,3.0,7.266666666666667,442.81,1,2,Bajo,Ascendente,Bajo valor / Ascendente
987,30,701,75,2334.53,732,4,672,31.127066666666668,False,141,7.755994125074821,21.082535211267604,12.43,False,-0.410412463423433,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,9.76,452.63,1,3,Alto,Descendente,Alto valor / Descendente
988,10,703,195,6052.09,1812,2,694,31.036358974358976,False,143,8.708324164441319,57.46295774647887,20.811666666666667,False,-0.6378246529096924,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,9.292307692307693,1805.92,1,5,Alto,Descendente,Alto valor / Descendente
989,46,690,173,4550.82,1568,15,645,26.305317919075144,False,176,8.423282431966323,51.85422535211268,44.395833333333336,False,-0.1438338335619446,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,9.063583815028903,959.5400000000001,1,8,Alto,Descendente,Alto valor / Descendente
990,85,570,16,247.12,61,135,486,15.445,False,30,5.513912500104917,2.1859154929577462,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.8125,25.330000000000002,0,0,Bajo,Descendente,Bajo valor / Descendente
991,44,665,31,1419.8799999999999,87,40,622,45.802580645161285,False,40,7.259031676959071,19.04112676056338,0.09999999999999999,False,-0.9947482099532516,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,2.806451612903226,40.92,0,0,Bajo,Descendente,Bajo valor / Descendente
992,104,703,100,818.36,231,2,600,8.1836,False,81,6.70852354771424,5.885633802816901,23.349999999999998,False,2.967287259500335,45-54,A,35-49K,Homeowner,2 Adults Kids,1,3.0,0.0,3.0,0.0,1.0,0.0,2.31,57.48,0,0,Bajo,Ascendente,Bajo valor / Ascendente
993,101,703,126,3064.87,1274,2,603,24.32436507936508,False,144,8.028086658010979,35.46732394366197,35.815000000000005,False,0.009802714659000036,55-64,A,50-74K,Homeowner,1 Adult Kids,3+,4.0,0.0,4.0,0.0,0.0,2.0,10.11111111111111,632.04,1,8,Alto,Ascendente,Alto valor / Ascendente
994,19,703,21,581.45,224,2,685,27.68809523809524,False,75,6.367243344845786,5.352816901408451,12.046666666666667,False,1.2505284392404508,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,10.666666666666666,104.09,0,0,Bajo,Ascendente,Bajo valor / Ascendente
995,70,703,21,1217.16,387,2,634,57.96,False,99,7.105096802532477,13.726760563380282,3.6975000000000002,False,-0.7306356453929818,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,18.428571428571427,187.34,1,3,Bajo,Descendente,Bajo valor / Descendente
996,14,705,135,2182.7,926,0,692,16.16814814814815,False,116,7.688775964792322,23.667323943661973,23.44666666666667,False,-0.009323287986447465,55-64,A,25-34K,Homeowner,2 Adults No Kids,None/Unknown,4.0,0.0,2.0,0.0,2.0,3.0,6.859259259259259,507.92,1,5,Alto,Descendente,Alto valor / Descendente
997,33,703,89,4477.54,1472,2,671,50.30943820224719,False,150,8.407052379437271,47.982816901408455,45.0525,False,-0.06107013073929052,45-54,U,75-99K,Homeowner,Single Male,None/Unknown,3.0,3.0,5.0,0.0,5.0,3.0,16.53932584269663,429.7,1,10,Alto,Descendente,Alto valor / Descendente
998,95,703,250,8305.39,2647,2,609,33.22156,False,169,9.024780377097544,102.16253521126761,62.75083333333333,False,-0.38577450918218326,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,10.588,1992.38,1,10,Alto,Descendente,Alto valor / Descendente
999,7,699,57,2154.25,743,6,693,37.79385964912281,False,130,7.675662005090034,16.76183098591549,29.86,False,0.7814282953390081,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,13.035087719298245,420.65,1,3,Alto,Ascendente,Alto valor / Ascendente
1000,49,699,137,4097.54,1874,6,651,29.90905109489051,False,130,8.31838609171363,40.58577464788733,41.0425,False,0.011253335831953742,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,13.678832116788321,543.14,1,3,Alto,Ascendente,Alto valor / Ascendente
1001,16,700,86,3900.7,1019,5,685,45.35697674418604,False,130,8.269167634577947,39.95098591549296,62.23333333333333,False,0.5577421159260877,45-54,U,50-74K,Homeowner,Unknown,None/Unknown,3.0,3.0,4.0,0.0,6.0,3.0,11.848837209302326,456.63,1,3,Alto,Ascendente,Alto valor / Ascendente
1002,73,705,29,899.24,385,0,633,31.008275862068967,False,114,6.802661394441742,5.096478873239437,24.334999999999997,False,3.774865275666712,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,13.275862068965518,152.56,0,0,Bajo,Ascendente,Bajo valor / Ascendente
1003,28,683,63,2588.73,810,22,656,41.09095238095238,False,127,7.859308902155229,28.659718309859155,3.8800000000000003,False,-0.8646183483713707,35-44,U,25-34K,Unknown,Single Female,None/Unknown,2.0,3.0,2.0,5.0,4.0,3.0,12.857142857142858,597.47,1,2,Alto,Descendente,Alto valor / Descendente
1004,83,705,252,3703.73,837,0,623,14.697341269841269,False,114,8.217365660580786,44.5469014084507,34.4475,False,-0.22671389230530883,25-34,U,15-24K,Unknown,Single Male,None/Unknown,1.0,3.0,1.0,5.0,5.0,3.0,3.3214285714285716,437.12,1,5,Alto,Descendente,Alto valor / Descendente
1005,115,704,174,2399.33,1310,1,590,13.789252873563218,False,97,7.783361506883779,29.06971830985915,24.180833333333336,False,-0.1681779274368725,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,7.528735632183908,599.17,1,3,Alto,Descendente,Alto valor / Descendente
1006,53,662,11,161.48,49,43,610,14.68,False,28,5.090554917272129,0.863943661971831,1.7991666666666666,True,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,4.454545454545454,73.26,0,0,Bajo,Sin tendencia disponible,Sin tendencia disponible
1007,73,696,121,1356.98,714,9,624,11.214710743801653,False,132,7.21375358046969,14.93394366197183,10.169166666666666,False,-0.31905684815447055,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.900826446280992,303.83,1,4,Bajo,Descendente,Bajo valor / Descendente
1008,78,690,40,511.12,114,15,613,12.778,False,45,6.238558972577978,6.026901408450704,6.299166666666667,False,0.04517499785780513,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,2.85,38.12,0,0,Bajo,Ascendente,Bajo valor / Ascendente
1009,69,586,23,125.52,82,119,518,5.4573913043478255,False,27,4.840400398437448,1.653943661971831,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.5652173913043477,21.28,0,0,Bajo,Descendente,Bajo valor / Descendente
1010,86,702,90,2440.25,811,3,617,27.113888888888887,False,110,7.8002654821908886,25.944225352112674,35.80416666666667,False,0.38004377393180033,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,9.011111111111111,299.95,1,1,Alto,Ascendente,Alto valor / Ascendente
1011,43,704,140,3495.2,997,1,662,24.965714285714284,False,144,8.159431943377083,36.21394366197183,45.82083333333333,False,0.2652815103771664,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,7.121428571428571,400.44,1,4,Alto,Ascendente,Alto valor / Ascendente
1012,59,673,121,2342.51,890,32,615,19.359586776859505,False,159,7.759405084475483,22.710845070422536,10.143333333333333,False,-0.5533705019834995,35-44,A,35-49K,Unknown,Unknown,3+,2.0,0.0,3.0,5.0,6.0,2.0,7.355371900826446,413.79,1,4,Alto,Descendente,Alto valor / Descendente
1013,51,705,35,947.03,339,0,655,27.058,False,93,6.854386147323932,7.83507042253521,3.5608333333333335,False,-0.5455263142126109,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,9.685714285714285,188.21,0,0,Bajo,Descendente,Bajo valor / Descendente
1014,63,703,161,4199.76,1675,2,641,26.085465838509318,False,183,8.343020740282505,52.249154929577465,27.125833333333333,False,-0.4808368983212434,45-54,A,15-24K,Unknown,2 Adults Kids,2,3.0,0.0,1.0,5.0,1.0,1.0,10.403726708074535,673.28,1,7,Alto,Descendente,Alto valor / Descendente
1015,46,696,106,3737.33,1612,9,651,35.25783018867924,False,114,8.226394266622851,40.805915492957745,29.382499999999997,False,-0.2799450852886561,45-54,U,50-74K,Homeowner,Unknown,None/Unknown,3.0,3.0,4.0,0.0,6.0,3.0,15.20754716981132,744.2700000000001,1,5,Alto,Descendente,Alto valor / Descendente
1016,3,654,40,3089.84,773,51,652,77.24600000000001,False,155,8.03619817760892,34.25281690140845,42.340833333333336,False,0.23612704482685368,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,19.325,311.36,1,4,Alto,Ascendente,Alto valor / Ascendente
1017,29,701,63,3436.26,1379,4,673,54.54380952380953,False,146,8.142429921355605,32.78211267605634,53.8025,False,0.6412151508251235,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,21.88888888888889,594.4599999999999,1,4,Alto,Ascendente,Alto valor / Ascendente
1018,36,702,166,2133.0,602,3,667,12.849397590361447,False,117,7.665753431861699,22.350281690140847,29.771666666666665,False,0.33204883407798563,45-54,A,35-49K,Homeowner,2 Adults Kids,3+,3.0,0.0,3.0,0.0,1.0,2.0,3.6265060240963853,316.13,1,5,Bajo,Ascendente,Bajo valor / Ascendente
1019,12,703,53,1553.56,463,2,692,29.31245283018868,False,109,7.348947826373753,12.235211267605633,20.664166666666667,False,0.6889096734584246,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.735849056603774,263.37,1,1,Bajo,Ascendente,Bajo valor / Ascendente
1020,85,704,170,9395.61,3248,1,620,55.26829411764706,False,189,9.148104264914593,94.70591549295774,154.57333333333335,False,0.6321402156217718,45-54,A,25-34K,Homeowner,2 Adults No Kids,None/Unknown,3.0,0.0,2.0,0.0,2.0,3.0,19.105882352941176,1437.26,1,5,Alto,Ascendente,Alto valor / Ascendente
1021,101,704,97,2059.11,694,1,604,21.227938144329897,False,128,7.630514658416254,23.791971830985915,13.403333333333334,False,-0.4366447039972847,35-44,A,50-74K,Homeowner,2 Adults Kids,3+,2.0,0.0,4.0,0.0,1.0,2.0,7.154639175257732,265.9,1,1,Bajo,Descendente,Bajo valor / Descendente
1022,42,581,36,263.27,129,124,540,7.313055555555555,False,54,5.5769713077898135,1.7060563380281693,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.5833333333333335,58.1,0,0,Bajo,Descendente,Bajo valor / Descendente
1023,107,705,597,37820.19,4346,0,599,63.35040201005025,False,192,10.540624806550863,444.13816901408455,522.6516666666666,False,0.17677719036593825,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,7.279731993299833,2194.09,0,0,Alto,Ascendente,Alto valor / Ascendente
1024,75,699,143,9297.07,2422,6,625,65.01447552447553,False,168,9.137562130722944,105.10774647887324,86.65249999999999,False,-0.17558407536196938,25-34,A,Under 15K,Homeowner,2 Adults Kids,2,1.0,0.0,0.0,0.0,1.0,1.0,16.937062937062937,2079.73,1,7,Alto,Descendente,Alto valor / Descendente
1025,45,696,81,3552.13,1373,9,652,43.85345679012346,False,115,8.175584184149873,34.94098591549296,64.49166666666666,False,0.84573116576172,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,16.950617283950617,765.46,1,3,Alto,Ascendente,Alto valor / Ascendente
1026,7,431,26,412.54,213,274,425,15.866923076923078,False,47,6.024754244972624,4.072957746478873,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.192307692307692,132.82999999999998,0,0,Bajo,Descendente,Bajo valor / Descendente
1027,54,669,40,1038.1,334,36,616,25.952499999999997,False,87,6.946110232858601,12.292394366197183,4.308333333333334,False,-0.6495122752341231,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.35,210.15,0,0,Bajo,Descendente,Bajo valor / Descendente
